id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
32101,JP-19,山梨県,中・西部,中北地域,甲府市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32102,JP-19,山梨県,中・西部,中北地域,韮崎市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32103,JP-19,山梨県,中・西部,中北地域,南アルプス市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32104,JP-19,山梨県,中・西部,中北地域,北杜市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32105,JP-19,山梨県,中・西部,中北地域,甲斐市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32106,JP-19,山梨県,中・西部,中北地域,中央市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32107,JP-19,山梨県,中・西部,中北地域,昭和町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32108,JP-19,山梨県,中・西部,峡東地域,山梨市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32109,JP-19,山梨県,中・西部,峡東地域,笛吹市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32110,JP-19,山梨県,中・西部,峡東地域,甲州市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32111,JP-19,山梨県,中・西部,峡南地域,市川三郷町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32112,JP-19,山梨県,中・西部,峡南地域,早川町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32113,JP-19,山梨県,中・西部,峡南地域,身延町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32114,JP-19,山梨県,中・西部,峡南地域,南部町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32115,JP-19,山梨県,中・西部,峡南地域,富士川町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32116,JP-19,山梨県,東部・富士五湖,東部,都留市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32117,JP-19,山梨県,東部・富士五湖,東部,大月市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32118,JP-19,山梨県,東部・富士五湖,東部,上野原市,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32119,JP-19,山梨県,東部・富士五湖,東部,道志村,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32120,JP-19,山梨県,東部・富士五湖,東部,小菅村,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32121,JP-19,山梨県,東部・富士五湖,東部,丹波山村,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32122,JP-19,山梨県,東部・富士五湖,富士五湖,富士吉田市,,,,,,,,,,,,,,,,,1,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32123,JP-19,山梨県,東部・富士五湖,富士五湖,西桂町,,,,,,,,,,,,,,,,,1,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32124,JP-19,山梨県,東部・富士五湖,富士五湖,忍野村,,,,,,,,,,,,,,,,,1,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32125,JP-19,山梨県,東部・富士五湖,富士五湖,山中湖村,,,,,,,,,,,,,,,,,1,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32126,JP-19,山梨県,東部・富士五湖,富士五湖,鳴沢村,,,,,,,,,,,,,,,,,1,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
32127,JP-19,山梨県,東部・富士五湖,富士五湖,富士河口湖町,,,,,,,,,,,,,,,,,1,,,,,,,2021-01-26T07:41,https://www.jma.go.jp/jp/warn/321_table.html
